Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,,,,,,,,,
Norovirus Infection,Stomach cramps,Nausea,Fatigue,Dehydration,Chills,Sweating,Body aches,Rashes,Irritability,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Fatigue,Abdominal pain,Chills,Sweating,General discomfort,,,,,,,,,
Norovirus Infection,Diarrhea,Abdominal pain,Chills,Sweating,Rashes,General discomfort,Irritability,,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Red eyes,Diarrhea,Vomiting,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Fatigue,Loss of appetite,Body aches,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Joint pain,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,
Roseola,Runny nose,Rash,Irritability,Sore throat,Cough,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Headache,Abdominal pain,Sweating,Body aches,General discomfort,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Joint pain,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Feverish,Chills,Joint pain,,,,,,,,
Mumps,"Swollen, painful salivary glands",Muscle aches,Tiredness,Loss of appetite,Headache,Muscle aches,Tiredness,,,,,,,,,
Norovirus Infection,Stomach cramps,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Rashes,Fever,Irritability,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Joint pain,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Abdominal pain,Loss of appetite,Chills,Body aches,Rashes,General discomfort,Fever,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,Fever,Irritability,,
Norovirus Infection,Vomiting,Low-grade fever,Headache,Fatigue,Loss of appetite,Chills,Body aches,General discomfort,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Loss of appetite,Body aches,Feverish,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,
Roseola,Irritability,Fatigue,Sore throat,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,,,,,,,,
Norovirus Infection,Low-grade fever,Abdominal pain,Loss of appetite,Dehydration,Chills,Rashes,Fever,Irritability,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Headache,Dehydration,Sweating,Rashes,General discomfort,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Fatigue,Loss of appetite,Muscle aches,General discomfort,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Headache,Fatigue,Loss of appetite,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Sore throat,Headache,Loss of appetite,Abdominal pain,Rashes,Chills,Feverish,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,Chills,Feverish,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Abdominal pain,Loss of appetite,Chills,Body aches,General discomfort,Irritability,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Irritability,,,,,
Roseola,High fever,Irritability,Fatigue,Sore throat,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Rashes,,,,,,,
Strep Throat,Sore throat,Fever,Swollen lymph nodes,Rash,Body aches,Loss of appetite,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Irritability,Sore throat,Mouth sores,Red spots,Blisters,Cough,Headache,Mild fever,Difficulty swallowing,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Feverish,Chills,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,,,,,,,,
Mumps,"Swollen, painful salivary glands",Fever,Tiredness,Loss of appetite,Trouble chewing,Testicle pain and tenderness,Muscle aches,Loss of appetite,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Stomach cramps,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,Joint pain,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Rashes,Chills,Feverish,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Fatigue,Dehydration,Body aches,General discomfort,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Chills,,,,,,
Norovirus Infection,Nausea,Headache,Abdominal pain,Loss of appetite,Chills,Sweating,Fever,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Feverish,General discomfort,Chills,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Loss of appetite,Abdominal pain,Rashes,Chills,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Loss of appetite,Dehydration,Chills,Sweating,Fever,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Headache,Fatigue,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Irritability,Mouth sores,Red spots,Sore muscles,General discomfort,Mild fever,Difficulty swallowing,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Fatigue,Dehydration,Muscle aches,Body aches,Feverish,Rashes,Joint pain,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Cough,Red eyes,Vomiting,Loss of appetite,Body aches,Rashes,Chills,,,,,
Norovirus Infection,Vomiting,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Headache,Dehydration,Muscle aches,Body aches,General discomfort,Joint pain,,,,,,,
Norovirus Infection,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,,,,,
"Hand, Foot, and Mouth Disease",Irritability,Sore throat,Red spots,Blisters,Cough,Sore muscles,Headache,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Diarrhea,Vomiting,Rashes,Chills,Feverish,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Sore throat,Blisters,Fatigue,Cough,Sore muscles,Mild fever,Difficulty swallowing,,,,,,,
"Hand, Foot, and Mouth Disease",Irritability,Sore throat,Fatigue,Sore muscles,Mild fever,,,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Rashes,General discomfort,Fever,,,,,,
Pertussis (Whooping Cough),Sneezing,Fever,"Cyanosis (blue lips, tongue, nailbeds)",Exhaustion,Sneezing,Low-grade fever,Runny nose,Severe coughing fits,Vomiting after coughing,Fatigue,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,General discomfort,Fever,Irritability,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Nausea,Abdominal pain,Dehydration,Chills,Body aches,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Bloody stools,Headache,Muscle aches,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Stomach cramps,Muscle aches,Body aches,Rashes,,,,,,,,
Roseola,High fever,Runny nose,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,,,,,,,,
Norovirus Infection,Diarrhea,Loss of appetite,Chills,Body aches,Rashes,General discomfort,Irritability,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Body aches,Rashes,Fever,Irritability,,,,
Scarlet Fever,Swollen glands,Fever,Sore throat,Strawberry tongue,Fever (100.4�F / 38.0�C or higher),Sore and red throat with patches,Difficulty swallowing,Nausea or vomiting,Headache and body aches,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Vomiting,Body aches,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Fatigue,Feverish,General discomfort,Joint pain,,,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,Rashes,General discomfort,,,,,,
Roseola,High fever,Runny nose,Sore throat,Cough,Red eyes,Body aches,Chills,,,,,,,,,
Roseola,Runny nose,Rash,Fatigue,Headache,Cough,Red eyes,Abdominal pain,Body aches,Chills,Feverish,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Loss of appetite,Body aches,Feverish,General discomfort,Chills,Joint pain,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Irritability,Mouth sores,Sore muscles,Difficulty swallowing,,,,,,,,,,,
Roseola,High fever,Irritability,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Stomach cramps,Fatigue,Muscle aches,Feverish,Rashes,General discomfort,,,,,,,,
Roseola,High fever,Fatigue,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Vomiting,Abdominal pain,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Bloody stools,Stomach cramps,Fatigue,Loss of appetite,Muscle aches,Feverish,Rashes,,,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Irritability,Mouth sores,Red spots,Sore muscles,Headache,General discomfort,Mild fever,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Sore throat,Vomiting,Loss of appetite,Chills,Feverish,,,,,,,
Roseola,Runny nose,Swollen lymph nodes,Headache,Cough,Diarrhea,Body aches,,,,,,,,,,
Norovirus Infection,Abdominal pain,Chills,Rashes,Fever,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Headache,Dehydration,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Headache,Fatigue,Muscle aches,Feverish,Chills,Joint pain,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,General discomfort,Fever,Irritability,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Stomach cramps,Muscle aches,Rashes,Chills,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,Feverish,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Chills,Sweating,Rashes,General discomfort,Irritability,,,,,
Norovirus Infection,Low-grade fever,Fatigue,Abdominal pain,Loss of appetite,General discomfort,Fever,Irritability,,,,,,,,,
Roseola,Rash,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,General discomfort,Fever,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Headache,Dehydration,Chills,Sweating,General discomfort,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Loss of appetite,Body aches,Rashes,General discomfort,Chills,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Headache,Loss of appetite,Chills,Sweating,Rashes,Fever,Irritability,,,,,,
Roseola,Rash,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,,,,,
Roseola,Runny nose,Rash,Fatigue,Headache,Cough,Diarrhea,Body aches,Chills,,,,,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Abdominal pain,Chills,Feverish,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Abdominal pain,Loss of appetite,Dehydration,Chills,Body aches,Fever,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Dehydration,Chills,Sweating,Body aches,Rashes,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Rashes,General discomfort,Chills,,,,,,
Pertussis (Whooping Cough),Whooping cough,Fever,"Cyanosis (blue lips, tongue, nailbeds)",Sneezing,Low-grade fever,Runny nose,Severe coughing fits,Vomiting after coughing,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,Chills,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Blisters,Sore muscles,Headache,General discomfort,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Vomiting,Fatigue,Dehydration,Muscle aches,Body aches,Feverish,Rashes,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Body aches,Rashes,General discomfort,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Body aches,Feverish,Rashes,Chills,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Abdominal pain,Chills,,,,,,,
Norovirus Infection,Diarrhea,Nausea,Headache,Dehydration,Chills,Sweating,Body aches,Irritability,,,,,,,,
Roseola,Fatigue,Swollen lymph nodes,Headache,Cough,Loss of appetite,Body aches,Rashes,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Body aches,Rashes,General discomfort,Fever,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Fatigue,General discomfort,Joint pain,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Mouth sores,Fatigue,Sore muscles,Headache,General discomfort,Mild fever,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Abdominal pain,Dehydration,Sweating,Rashes,General discomfort,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Abdominal pain,Body aches,Rashes,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Sweating,Rashes,General discomfort,Fever,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Muscle aches,Rashes,Chills,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Feverish,General discomfort,Joint pain,,,,,,
Roseola,Runny nose,Swollen lymph nodes,Sore throat,Cough,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,,,,,
Roseola,High fever,Rash,Sore throat,Cough,Diarrhea,Vomiting,Abdominal pain,Rashes,Chills,Feverish,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Diarrhea,Abdominal pain,Rashes,Chills,Feverish,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Nausea,Fatigue,Loss of appetite,Fever,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Loss of appetite,Muscle aches,Feverish,General discomfort,Chills,Joint pain,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,Fever,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Irritability,Sore throat,Red spots,Fatigue,Cough,Difficulty swallowing,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Headache,Loss of appetite,Muscle aches,Feverish,Rashes,,,,,,,,
Roseola,Fatigue,Sore throat,Headache,Cough,Diarrhea,Loss of appetite,Rashes,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Chills,Body aches,Fever,Irritability,,,,,,
